data_date,strike,ticker,asset,strike_date,option_type,bid,ask,ivm,volm,outs_int
2023-04-19,4165,^GSPC 5/19/23 P4165,^GSPC,2023-05-19,Put,66.19999695,67.30000305,13.89930725,70,1421
2023-04-19,57.5,KO 5/19/23 P57.5,KO,2023-05-19,Put,0.069999993,0.079999983,22.09702301,5,5621
2023-04-19,60,KO 5/19/23 P60,KO,2023-05-19,Put,0.160000026,0.170000017,17.86566925,13,6984
2023-04-19,62.5,KO 5/19/23 P62.5,KO,2023-05-19,Put,0.519999981,0.540000021,15.11500454,71,13121
2023-04-19,65,KO 5/19/23 P65,KO,2023-05-19,Put,1.600000381,1.659999847,12.89343071,11,880
2023-04-19,67.5,KO 5/19/23 P67.5,KO,2023-05-19,Put,3.800000191,3.900000572,14.21764851,2,2
2023-04-19,0.5,BBBY 5/19/23 P0.5,BBBY,2023-05-19,Put,0.209999979,0.24000001,379.6488342,4076,11468
2023-04-19,1,BBBY 5/19/23 P1,BBBY,2023-05-19,Put,0.629999995,0.670000017,391.5743713,692,7123
2023-04-19,1.5,BBBY 5/19/23 P1.5,BBBY,2023-05-19,Put,1.090000153,1.180000305,438.7462158,171,1598
2023-04-19,2,BBBY 5/19/23 P2,BBBY,2023-05-19,Put,1.569999695,1.649999619,433.7605286,124,1492
2023-04-19,2.5,BBBY 5/19/23 P2.5,BBBY,2023-05-19,Put,2.06000042,2.130000114,433.3330078,163,240
